#mu	PbyP0	Navg	Uptake[mmol/g]
-11.05	2.0116468046e-01	623.186	6.3276153437
-11.10	1.8816249100e-01	605.311	6.1461187692
-11.15	1.7600069226e-01	592.137	6.0123545246
-11.20	1.6462496596e-01	577.801	5.8667917335
-11.25	1.5398450466e-01	569.236	5.7798256825
-11.30	1.4403178484e-01	550.77	5.5923282982
-11.35	1.3472235462e-01	542.559	5.5089566410
-11.40	1.2601463528e-01	534.621	5.4283569314
-11.45	1.1786973549e-01	514.491	5.2239638660
-11.50	1.1025127768e-01	501.373	5.0907682261
-11.55	1.0312523548e-01	490.056	4.9758593179
-11.60	9.6459781853e-02	470.571	4.7780153596
-11.65	9.0225146846e-02	456.466	4.6347980627
-11.70	8.4393484694e-02	447.54	4.5441665425
-11.75	7.8938749427e-02	432.491	4.3913641956
-11.80	7.3836578541e-02	417.509	4.2392421437
-11.85	6.9064184197e-02	401.745	4.0791799339
-11.90	6.4600251435e-02	392.118	3.9814307018
-11.95	6.0424842976e-02	376.95	3.8274200701
-12.00	5.6519310183e-02	366.988	3.7262693638
-12.05	5.2866209761e-02	350.273	3.5565510286
-12.10	4.9449225856e-02	338.329	3.4352757790
-12.15	4.6253097183e-02	323.547	3.2851844579
-12.20	4.3263548862e-02	310.354	3.1512272939
-12.25	4.0467228665e-02	298.503	3.0308963342
-12.30	3.7851647377e-02	288.435	2.9286693406
-12.35	3.5405123019e-02	274.764	2.7898587297
-12.40	3.3116728674e-02	260.689	2.6469460423
-12.45	3.0976243676e-02	254.497	2.5840746136
-12.50	2.8974107973e-02	242.957	2.4669014404
-12.55	2.7101379418e-02	231.913	2.3547644800
-12.60	2.5349693839e-02	224.497	2.2794649781
-12.65	2.3711227676e-02	210.59	2.1382581047
-12.70	2.2178663044e-02	202.957	2.0607552598
-12.75	2.0745155044e-02	192.478	1.9543551141
-12.80	1.9404301194e-02	183.112	1.8592559859
-12.85	1.8150112835e-02	175.168	1.7785953544
-12.90	1.6976988381e-02	170.689	1.7331171358
-12.95	1.5879688304e-02	161.28	1.6375814005
-13.00	1.4853311729e-02	152.658	1.5500365912
-13.05	1.3893274545e-02	144.267	1.4648372762
-13.10	1.2995288937e-02	140.205	1.4235931315
-13.15	1.2155344229e-02	134.832	1.3690375458
-13.20	1.1369688973e-02	129.41	1.3139844310
-13.25	1.0634814194e-02	123.398	1.2529406601
-13.30	9.9474377183e-03	119.043	1.2087214946
-13.35	9.3044895151e-03	113.155	1.1489367768
-13.40	8.7030979824e-03	109.466	1.1114799453
-13.45	8.1405771234e-03	102.565	1.0414095755
-13.50	7.6144145494e-03	100.727	1.0227471585
-13.55	7.1222602589e-03	95.1677	0.9662999470
-13.60	6.6619161415e-03	92.2174	0.9363436200
-13.65	6.2313261610e-03	87.5963	0.8894225672
-13.70	5.8285671720e-03	84.6398	0.8594032876
-13.75	5.4518403307e-03	84.0807	0.8537263793
-13.80	5.0994630609e-03	77.087	0.7827147657
-13.85	4.7698615389e-03	75.8137	0.7697861174
-13.90	4.4615636643e-03	72.4472	0.7356038395
-13.95	4.1731924854e-03	70.8571	0.7194585135
-14.00	3.9034600492e-03	67.913	0.6895651392
-14.05	3.6511616487e-03	66.5466	0.6756911857
-14.10	3.4151704429e-03	62.8075	0.6377256561
-14.15	3.1944324235e-03	61.8758	0.6282654962
-14.20	2.9879617076e-03	59.0559	0.5996332058
-14.25	2.7948361345e-03	56.2174	0.5708120574
-14.30	2.6141931466e-03	55.2484	0.5609731662
-14.35	2.4452259377e-03	54.4224	0.5525862476
-14.40	2.2871798491e-03	52.5404	0.5334770698
-14.45	2.1393489990e-03	49.6832	0.5044660481
-14.50	2.0010731300e-03	48.3354	0.4907809525
-14.55	1.8717346601e-03	46.6149	0.4733115899
-14.60	1.7507559246e-03	45.7329	0.4643560667
-14.65	1.6375965958e-03	45.0248	0.4571662639
-14.70	1.5317512697e-03	43.8447	0.4451839362
-14.75	1.4327472091e-03	41.3975	0.4203359129
-14.80	1.3401422319e-03	40.1366	0.4075331699
-14.85	1.2535227360e-03	38.7453	0.3934063903
-14.90	1.1725018527e-03	37.7019	0.3828120672
-14.95	1.0967177180e-03	36.0062	0.3655945153
-15.00	1.0258318572e-03	35.1553	0.3569547706
-15.05	9.5952767230e-04	33.8696	0.3439002170
-15.10	8.9750902888e-04	33.4099	0.3392325820
-15.15	8.3949893283e-04	31.8758	0.3236558606
-15.20	7.8523829348e-04	31.6211	0.3210697248
-15.25	7.3448476637e-04	29.8447	0.3030327730
-15.30	6.8701167087e-04	29.2981	0.2974827854
-15.35	6.4260697773e-04	27.2112	0.2762931238
-15.40	6.0107236215e-04	27.0373	0.2745274033
-15.45	5.6222231793e-04	27.4658	0.2788782442
-15.50	5.2588332900e-04	25.8012	0.2619764709
-15.55	4.9189309442e-04	25.4472	0.2583820772
-15.60	4.6009980351e-04	24.5466	0.2492376960
-15.65	4.3036145778e-04	23.7888	0.2415432566
-15.70	4.0254523677e-04	21.882	0.2221822681
-15.75	3.7652690481e-04	21.4907	0.2182091431
-15.80	3.5219025615e-04	21.6398	0.2197230530
-15.85	3.2942659592e-04	21.0124	0.2133526502
-15.90	3.0813425472e-04	19.8571	0.2016221331
-15.95	2.8821813450e-04	19.6832	0.1998564126
-16.00	2.6958928384e-04	18.1677	0.1844685492
-16.05	2.5216450064e-04	17.8447	0.1811889188
-16.10	2.3586596054e-04	17.5155	0.1778463357
-16.15	2.2062086931e-04	16.882	0.1714139956
-16.20	2.0636113775e-04	15.6522	0.1589270312
-16.25	1.9302307759e-04	15.0994	0.1533140910
-16.30	1.8054711700e-04	14.7143	0.1494039187
-16.35	1.6887753457e-04	14.1553	0.1437280258
-16.40	1.5796221039e-04	13.8261	0.1403854427
-16.45	1.4775239333e-04	13.5901	0.1379891802
-16.50	1.3820248324e-04	12.677	0.1287178783
-16.55	1.2926982734e-04	12.7826	0.1297901042
-16.60	1.2091452966e-04	11.8137	0.1199522284
-16.65	1.1309927293e-04	11.6335	0.1181225398
-16.70	1.0578915184e-04	11.2547	0.1142763355
-16.75	9.8951517160e-05	10.6832	0.1084735219
-16.80	9.2555829952e-05	10.2919	0.1045003969
-16.85	8.6573525136e-05	9.51553	0.0966174042
-16.90	8.0977883926e-05	9.77019	0.0992031338
-16.95	7.5743914492e-05	9.11801	0.0925811234
-17.00	7.0848240339e-05	8.68323	0.0881665175
