# mu P_by_P0 Nmean Nse uptake_mean uptake_se
-1.6450000000e+01 1.4775239333e-04 1.3475800000e+01 3.7961269736e-02 1.3682861752e-01 3.8544561211e-04
-1.6500000000e+01 1.3820248324e-04 1.2771420000e+01 9.7167774493e-02 1.2967658636e-01 9.8660801609e-04
-1.6550000000e+01 1.2926982734e-04 1.2398740000e+01 1.3118668225e-01 1.2589252240e-01 1.3320242500e-03
-1.6600000000e+01 1.2091452966e-04 1.1975160000e+01 1.0786891397e-01 1.2159163744e-01 1.0952636838e-03
-1.6650000000e+01 1.1309927293e-04 1.1457120000e+01 1.7052865859e-01 1.1633163824e-01 1.7314890753e-03
-1.6700000000e+01 1.0578915184e-04 1.1439780000e+01 1.4227244779e-01 1.1615557386e-01 1.4445852779e-03
-1.6750000000e+01 9.8951517160e-05 1.0920480000e+01 6.9572411199e-02 1.1088278108e-01 7.0641423135e-04
-1.6800000000e+01 9.2555829952e-05 1.0372660000e+01 9.7290228697e-02 1.0532040604e-01 9.8785137294e-04
-1.6850000000e+01 8.6573525136e-05 9.9701840000e+00 1.4280874478e-01 1.0123380382e-01 1.4500306547e-03
-1.6900000000e+01 8.0977883926e-05 9.8596280000e+00 6.2688701167e-02 1.0011125638e-01 6.3651941822e-04
-1.6950000000e+01 7.5743914492e-05 9.3105560000e+00 7.2699813452e-02 9.4536168980e-02 7.3816878742e-04
-1.7000000000e+01 7.0848240339e-05 9.0621120000e+00 1.1748809248e-01 9.2013554440e-02 1.1929335022e-03
