#mu	PbyP0	Navg	Uptake[mmol/g]
-16.15	2.2062086931e-04	16.8571	0.1711611696
-16.20	2.0636113775e-04	16.3354	0.1658640080
-16.25	1.9302307759e-04	15.9814	0.1622696143
-16.30	1.8054711700e-04	14.3478	0.1456826043
-16.35	1.6887753457e-04	13.9752	0.1418993526
-16.40	1.5796221039e-04	13.9752	0.1418993526
-16.45	1.4775239333e-04	13.3665	0.1357188231
-16.50	1.3820248324e-04	12.5404	0.1273308891
-16.55	1.2926982734e-04	12.559	0.1275197471
-16.60	1.2091452966e-04	12.1242	0.1231049381
-16.65	1.1309927293e-04	12.0248	0.1220956648
-16.70	1.0578915184e-04	11.5466	0.1172401872
-16.75	9.8951517160e-05	11.0621	0.1123207416
-16.80	9.2555829952e-05	10.2733	0.1043115389
-16.85	8.6573525136e-05	9.9441	0.1009689559
-16.90	8.0977883926e-05	10.0497	0.1020411818
-16.95	7.5743914492e-05	9.54037	0.0968696209
-17.00	7.0848240339e-05	8.95652	0.0909414098
