#mu	PbyP0	Navg	Uptake[mmol/g]
-14.40	2.2871798491e-03	51.8137	0.5260984090
-14.45	2.1393489990e-03	50.7205	0.5149984339
-14.50	2.0010731300e-03	48.354	0.4909698105
-14.55	1.8717346601e-03	47.795	0.4852939176
-14.60	1.7507559246e-03	45.5528	0.4625273935
-14.65	1.6375965958e-03	44.205	0.4488422979
-14.70	1.5317512697e-03	42.913	0.4357237763
-14.75	1.4327472091e-03	42.0373	0.4268322210
-14.80	1.3401422319e-03	40.5839	0.4120748995
-14.85	1.2535227360e-03	38.8447	0.3944156636
-14.90	1.1725018527e-03	37.5155	0.3809194260
-14.95	1.0967177180e-03	36.2298	0.3678648724
-15.00	1.0258318572e-03	35.8509	0.3640176527
-15.05	9.5952767230e-04	34.3478	0.3487556946
-15.10	8.9750902888e-04	33.4286	0.3394224554
-15.15	8.3949893283e-04	32.5652	0.3306557901
-15.20	7.8523829348e-04	31.6708	0.3215743615
-15.25	7.3448476637e-04	30.2919	0.3075734873
-15.30	6.8701167087e-04	28.8509	0.2929420711
-15.35	6.4260697773e-04	28.9379	0.2938254390
-15.40	6.0107236215e-04	27.1491	0.2756625818
-15.45	5.6222231793e-04	26.4907	0.2689774157
-15.50	5.2588332900e-04	25.5217	0.2591385245
-15.55	4.9189309442e-04	25.1366	0.2552283521
-15.60	4.6009980351e-04	24.5155	0.2489219173
-15.65	4.3036145778e-04	23.4658	0.2382636262
-15.70	4.0254523677e-04	22.5839	0.2293091182
-15.75	3.7652690481e-04	21.1801	0.2150554180
-15.80	3.5219025615e-04	20.8758	0.2119656610
-15.85	3.2942659592e-04	20.1739	0.2048388109
-15.90	3.0813425472e-04	19.7329	0.2003610492
-15.95	2.8821813450e-04	18.6149	0.1890092635
-16.00	2.6958928384e-04	18.8509	0.1914055259
-16.05	2.5216450064e-04	17.6957	0.1796760242
-16.10	2.3586596054e-04	17.3292	0.1759547099
-16.15	2.2062086931e-04	17.1801	0.1744408000
-16.20	2.0636113775e-04	16.472	0.1672509972
-16.25	1.9302307759e-04	15.7143	0.1595575732
-16.30	1.8054711700e-04	14.7143	0.1494039187
-16.35	1.6887753457e-04	13.9876	0.1420252579
-16.40	1.5796221039e-04	14.0683	0.1428446578
-16.45	1.4775239333e-04	13.4783	0.1368540017
-16.50	1.3820248324e-04	13.0124	0.1321234140
-16.55	1.2926982734e-04	12.4348	0.1262586632
-16.60	1.2091452966e-04	12.3106	0.1249975793
-16.65	1.1309927293e-04	11.3416	0.1151586881
-16.70	1.0578915184e-04	11.3106	0.1148439248
-16.75	9.8951517160e-05	10.8571	0.1102392425
-16.80	9.2555829952e-05	10.1304	0.1028605817
-16.85	8.6573525136e-05	10.3789	0.1053837649
-16.90	8.0977883926e-05	9.81366	0.0996445132
-16.95	7.5743914492e-05	9.3913	0.0953560157
-17.00	7.0848240339e-05	9.37888	0.0952299073
