# Q S_total_mean S_total_se
3.8100000000e+00 1.2155854720e+00 1.9504989605e-03
3.8200000000e+00 1.2126369220e+00 1.8710802460e-03
3.8300000000e+00 1.2069327380e+00 1.7260970267e-03
3.8400000000e+00 1.1993691720e+00 1.5683560089e-03
3.8500000000e+00 1.1908690560e+00 1.4195795880e-03
3.8600000000e+00 1.1821009740e+00 1.2643453437e-03
3.8700000000e+00 1.1733525820e+00 1.0953229621e-03
3.8800000000e+00 1.1645993560e+00 9.7600182477e-04
3.8900000000e+00 1.1557322800e+00 1.0338607551e-03
3.9000000000e+00 1.1468421020e+00 1.2877004763e-03
3.9100000000e+00 1.1384296660e+00 1.6140584715e-03
3.9200000000e+00 1.1314334660e+00 1.9007077069e-03
3.9300000000e+00 1.1270311460e+00 2.0886179248e-03
3.9400000000e+00 1.1262588800e+00 2.1581594065e-03
3.9500000000e+00 1.1295704380e+00 2.1127783834e-03
3.9600000000e+00 1.1364964860e+00 1.9662502297e-03
3.9700000000e+00 1.1455481300e+00 1.7371396327e-03
3.9800000000e+00 1.1544385160e+00 1.4517516776e-03
3.9900000000e+00 1.1605938980e+00 1.1526393632e-03
4.0000000000e+00 1.1618244260e+00 9.0667274193e-04
4.0100000000e+00 1.1569594980e+00 7.8986439172e-04
4.0200000000e+00 1.1462471260e+00 8.0963522689e-04
4.0300000000e+00 1.1313767200e+00 8.8086817343e-04
4.0400000000e+00 1.1150931260e+00 9.2790054200e-04
4.0500000000e+00 1.1004941160e+00 9.2664388528e-04
4.0600000000e+00 1.0902042260e+00 8.9050144879e-04
4.0700000000e+00 1.0856622620e+00 8.5217280616e-04
4.0800000000e+00 1.0867318680e+00 8.4128884465e-04
4.0900000000e+00 1.0917519720e+00 8.5985758498e-04
4.1000000000e+00 1.0980137780e+00 8.8014939253e-04
4.1100000000e+00 1.1025237400e+00 8.6914733876e-04
4.1200000000e+00 1.1028269360e+00 8.1270237560e-04
4.1300000000e+00 1.0976492180e+00 7.2781077863e-04
4.1400000000e+00 1.0871742160e+00 6.6219230372e-04
4.1500000000e+00 1.0728849300e+00 6.6331597204e-04
4.1600000000e+00 1.0570334180e+00 7.2353623379e-04
4.1700000000e+00 1.0419140680e+00 7.9201569655e-04
4.1800000000e+00 1.0291716580e+00 8.3453407837e-04
4.1900000000e+00 1.0193576680e+00 8.5896153374e-04
4.2000000000e+00 1.0118642940e+00 9.0944367999e-04
4.2100000000e+00 1.0052423280e+00 1.0309148690e-03
4.2200000000e+00 9.9778670920e-01 1.2244735517e-03
4.2300000000e+00 9.8819080260e-01 1.4492863683e-03
4.2400000000e+00 9.7605303700e-01 1.6545914220e-03
4.2500000000e+00 9.6207210600e-01 1.7989554395e-03
4.2600000000e+00 9.4787095280e-01 1.8572113166e-03
4.2700000000e+00 9.3551107940e-01 1.8240961088e-03
4.2800000000e+00 9.2685765100e-01 1.7165120389e-03
4.2900000000e+00 9.2300096360e-01 1.5724564908e-03
4.3000000000e+00 9.2391759860e-01 1.4417732537e-03
4.3100000000e+00 9.2847380180e-01 1.3627666120e-03
4.3200000000e+00 9.3476186580e-01 1.3338673293e-03
4.3300000000e+00 9.4065475100e-01 1.3129053952e-03
4.3400000000e+00 9.4439898100e-01 1.2485880673e-03
4.3500000000e+00 9.4506097400e-01 1.1098968059e-03
4.3600000000e+00 9.4269699380e-01 9.0061350010e-04
4.3700000000e+00 9.3821155200e-01 6.7320280330e-04
4.3800000000e+00 9.3297073500e-01 5.5412760237e-04
4.3900000000e+00 9.2831170780e-01 6.4771404935e-04
4.4000000000e+00 9.2511402660e-01 8.4428471496e-04
4.4100000000e+00 9.2356666840e-01 1.0258381924e-03
4.4200000000e+00 9.2319030680e-01 1.1601384508e-03
4.4300000000e+00 9.2308467740e-01 1.2582869768e-03
4.4400000000e+00 9.2229709400e-01 1.3350648131e-03
4.4500000000e+00 9.2017469960e-01 1.3809228697e-03
4.4600000000e+00 9.1657900880e-01 1.3627549967e-03
4.4700000000e+00 9.1189842220e-01 1.2498630972e-03
4.4800000000e+00 9.0687029240e-01 1.0427928120e-03
4.4900000000e+00 9.0229104260e-01 7.9603028274e-04
4.5000000000e+00 8.9872763420e-01 6.3634925030e-04
4.5100000000e+00 8.9633579100e-01 6.7586845068e-04
4.5200000000e+00 8.9484503020e-01 8.1809436062e-04
4.5300000000e+00 8.9370615600e-01 9.3477648474e-04
4.5400000000e+00 8.9233767040e-01 1.0061736877e-03
4.5500000000e+00 8.9037474140e-01 1.0837410699e-03
4.5600000000e+00 8.8782830160e-01 1.2157660498e-03
4.5700000000e+00 8.8509912500e-01 1.3838972290e-03
4.5800000000e+00 8.8284683340e-01 1.5219962574e-03
4.5900000000e+00 8.8176569860e-01 1.5725058632e-03
4.6000000000e+00 8.8234916660e-01 1.5170672525e-03
4.6100000000e+00 8.8472376420e-01 1.3818456725e-03
4.6200000000e+00 8.8860318840e-01 1.2266980023e-03
4.6300000000e+00 8.9336801500e-01 1.1155425219e-03
4.6400000000e+00 8.9823348100e-01 1.0715770532e-03
4.6500000000e+00 9.0244282400e-01 1.0638507731e-03
4.6600000000e+00 9.0542415840e-01 1.0502651075e-03
4.6700000000e+00 9.0687186360e-01 1.0147981437e-03
4.6800000000e+00 9.0674743520e-01 9.6574647163e-04
4.6900000000e+00 9.0522486980e-01 9.1503972026e-04
4.7000000000e+00 9.0261993760e-01 8.6293176658e-04
4.7100000000e+00 8.9933692020e-01 8.0195417027e-04
4.7200000000e+00 8.9584533500e-01 7.3356187894e-04
4.7300000000e+00 8.9267419400e-01 6.7970988565e-04
4.7400000000e+00 8.9039524860e-01 6.7520993164e-04
4.7500000000e+00 8.8956780720e-01 7.3790591021e-04
4.7600000000e+00 8.9063646700e-01 8.5273874059e-04
4.7700000000e+00 8.9380130740e-01 9.9260576855e-04
4.7800000000e+00 8.9890463680e-01 1.1350454771e-03
4.7900000000e+00 9.0538676120e-01 1.2604225669e-03
4.8000000000e+00 9.1234912720e-01 1.3474440672e-03
4.8100000000e+00 9.1872954600e-01 1.3745792366e-03
4.8200000000e+00 9.2355283980e-01 1.3266294064e-03
4.8300000000e+00 9.2618708780e-01 1.2028543286e-03
4.8400000000e+00 9.2652484780e-01 1.0244258125e-03
4.8500000000e+00 9.2502644920e-01 8.4115919547e-04
4.8600000000e+00 9.2260418620e-01 7.2987316056e-04
4.8700000000e+00 9.2037792560e-01 7.4303479352e-04
4.8800000000e+00 9.1937577880e-01 8.3749269788e-04
4.8900000000e+00 9.2027204540e-01 9.3217873050e-04
4.9000000000e+00 9.2324140680e-01 9.7896528524e-04
4.9100000000e+00 9.2796773340e-01 9.6378609709e-04
4.9200000000e+00 9.3379258100e-01 8.9272756469e-04
4.9300000000e+00 9.3994196540e-01 7.8323137304e-04
4.9400000000e+00 9.4574724860e-01 6.6356505385e-04
4.9500000000e+00 9.5078488320e-01 5.7875233350e-04
4.9600000000e+00 9.5489624640e-01 5.7676588651e-04
4.9700000000e+00 9.5809834380e-01 6.5119031161e-04
4.9800000000e+00 9.6043934860e-01 7.3935218575e-04
4.9900000000e+00 9.6187308280e-01 7.8458553615e-04
5.0000000000e+00 9.6221593520e-01 7.6664313550e-04
5.0100000000e+00 9.6121280740e-01 7.1501273185e-04
5.0200000000e+00 9.5869021380e-01 7.1207164688e-04
5.0300000000e+00 9.5473396740e-01 8.2513548253e-04
5.0400000000e+00 9.4981245580e-01 1.0145803061e-03
5.0500000000e+00 9.4478141660e-01 1.1921316912e-03
5.0600000000e+00 9.4074736360e-01 1.2942428903e-03
5.0700000000e+00 9.3881913880e-01 1.2952431136e-03
5.0800000000e+00 9.3982070600e-01 1.2041372665e-03
5.0900000000e+00 9.4405669900e-01 1.0573959037e-03
5.1000000000e+00 9.5120813880e-01 9.0645482269e-04
5.1100000000e+00 9.6039414820e-01 7.9618619637e-04
5.1200000000e+00 9.7038145140e-01 7.3772179487e-04
5.1300000000e+00 9.7987654000e-01 7.0484077067e-04
5.1400000000e+00 9.8781208280e-01 6.6541145468e-04
5.1500000000e+00 9.9354684900e-01 6.0740146873e-04
5.1600000000e+00 9.9693286200e-01 5.4249023203e-04
5.1700000000e+00 9.9825077100e-01 4.9849101896e-04
5.1800000000e+00 9.9805651440e-01 5.0125026771e-04
5.1900000000e+00 9.9700429220e-01 5.5383885809e-04
5.2000000000e+00 9.9570622860e-01 6.4612410322e-04
5.2100000000e+00 9.9466225400e-01 7.8049683047e-04
5.2200000000e+00 9.9425754140e-01 9.7177879542e-04
5.2300000000e+00 9.9479511820e-01 1.2256806767e-03
5.2400000000e+00 9.9652035880e-01 1.5246991884e-03
5.2500000000e+00 9.9960565140e-01 1.8326716640e-03
5.2600000000e+00 1.0040913826e+00 2.1075470469e-03
5.2700000000e+00 1.0098101540e+00 2.3130878610e-03
5.2800000000e+00 1.0163400260e+00 2.4265118629e-03
5.2900000000e+00 1.0230296120e+00 2.4411555689e-03
5.3000000000e+00 1.0291128640e+00 2.3642951777e-03
5.3100000000e+00 1.0338933420e+00 2.2116885800e-03
5.3200000000e+00 1.0369428600e+00 2.0016774489e-03
5.3300000000e+00 1.0382428980e+00 1.7519306019e-03
5.3400000000e+00 1.0382086080e+00 1.4807642102e-03
5.3500000000e+00 1.0375721620e+00 1.2134763596e-03
5.3600000000e+00 1.0371529960e+00 9.9271728146e-04
5.3700000000e+00 1.0375873380e+00 8.8086239850e-04
5.3800000000e+00 1.0391110520e+00 9.1344322301e-04
5.3900000000e+00 1.0414775080e+00 1.0392456148e-03
5.4000000000e+00 1.0440485040e+00 1.1681842504e-03
5.4100000000e+00 1.0460355080e+00 1.2304026307e-03
5.4200000000e+00 1.0468120660e+00 1.1850305014e-03
5.4300000000e+00 1.0461878720e+00 1.0208169277e-03
5.4400000000e+00 1.0445421380e+00 7.6614027763e-04
5.4500000000e+00 1.0427589800e+00 5.3256562668e-04
5.4600000000e+00 1.0419746680e+00 5.6953058311e-04
5.4700000000e+00 1.0432134260e+00 8.5357705100e-04
5.4800000000e+00 1.0470308200e+00 1.1512053733e-03
5.4900000000e+00 1.0532859820e+00 1.3619774248e-03
5.5000000000e+00 1.0611245520e+00 1.4557252734e-03
5.5100000000e+00 1.0691856360e+00 1.4398614991e-03
5.5200000000e+00 1.0759720280e+00 1.3463516083e-03
5.5300000000e+00 1.0802684780e+00 1.2190532644e-03
5.5400000000e+00 1.0814764220e+00 1.1007515456e-03
5.5500000000e+00 1.0797611320e+00 1.0223160436e-03
5.5600000000e+00 1.0759684180e+00 9.9510148549e-04
5.5700000000e+00 1.0713426920e+00 1.0080884986e-03
5.5800000000e+00 1.0671401600e+00 1.0335409610e-03
5.5900000000e+00 1.0642611280e+00 1.0401836943e-03
5.6000000000e+00 1.0630138040e+00 1.0066225377e-03
5.6100000000e+00 1.0630750400e+00 9.2925317461e-04
5.6200000000e+00 1.0636475300e+00 8.2220575517e-04
5.6300000000e+00 1.0637512740e+00 7.0940464652e-04
