#Q I_ArAr I_ArO1 I_ArSi2 I_ArO2  I_ArSi1  I_ArH I_rest I_tot S_ArAr S_ArO1 S_ArSi2 S_ArO2 S_ArSi1 S_ArH S_rest S_total
6.4100 1.84916931e-07 1.13326271e-08 1.22099177e-09 -9.51626826e-09 -8.69247374e-10 1.72079579e-09 1.87954282e-07 1.88805830e-07 9.84837638e-01 9.49382190e-03 3.14606427e-03 -1.49573647e-02 -1.79987747e-03 4.19664106e-03 9.82520159e-01 9.84916923e-01
6.4200 1.85056730e-07 1.12493974e-08 1.51169640e-09 -9.76339157e-09 -1.10195754e-09 8.43757582e-10 1.88054432e-07 1.87796232e-07 9.85575974e-01 9.42483168e-03 3.88830405e-03 -1.53468106e-02 -2.27944998e-03 2.05315062e-03 9.83542299e-01 9.83316000e-01
6.4300 1.85216606e-07 1.06377779e-08 1.56125892e-09 -9.74595031e-09 -1.42756511e-09 -3.52483933e-11 1.87669693e-07 1.86206879e-07 9.86420748e-01 8.91278165e-03 4.01215656e-03 -1.53195951e-02 -2.95077547e-03 -9.44841378e-05 9.84026091e-01 9.80980831e-01
6.4400 1.85375299e-07 9.55034309e-09 1.44767705e-09 -9.64953749e-09 -1.82371103e-09 -7.44590311e-10 1.86723782e-07 1.84155481e-07 9.87259586e-01 8.00192293e-03 3.71827936e-03 -1.51672021e-02 -3.76744435e-03 -1.82705230e-03 9.83812586e-01 9.78218090e-01
6.4500 1.85512295e-07 8.13892275e-09 1.27170814e-09 -9.67318374e-09 -2.23501336e-09 -1.14676614e-09 1.85249742e-07 1.81867963e-07 9.87984182e-01 6.81963206e-03 3.26547647e-03 -1.52025163e-02 -4.61494187e-03 -2.80866728e-03 9.82866774e-01 9.75443165e-01
6.4600 1.85612495e-07 6.60378076e-09 1.13304846e-09 -9.96876485e-09 -2.57872517e-09 -1.17231586e-09 1.83380559e-07 1.79629518e-07 9.88514924e-01 5.53377659e-03 2.90953397e-03 -1.56645995e-02 -5.32242494e-03 -2.86964196e-03 9.81293635e-01 9.73101568e-01
6.4700 1.85669536e-07 5.12987721e-09 1.10821180e-09 -1.05973452e-08 -2.76182937e-09 -8.36466055e-10 1.81310280e-07 1.77711985e-07 9.88818383e-01 4.29929043e-03 2.84649145e-03 -1.66499995e-02 -5.69806291e-03 -2.04719842e-03 9.79314165e-01 9.71568904e-01
6.4800 1.85686960e-07 3.83286283e-09 1.23551092e-09 -1.15135299e-08 -2.70587339e-09 -2.34421411e-10 1.79241804e-07 1.76301509e-07 9.88913372e-01 3.21294178e-03 3.17420033e-03 -1.80880122e-02 -5.58028381e-03 -5.74008204e-04 9.77212502e-01 9.71058210e-01
6.4900 1.85676973e-07 2.73324255e-09 1.51030675e-09 -1.25804277e-08 -2.37232751e-09 4.83171236e-10 1.77340095e-07 1.75450939e-07 9.88864393e-01 2.29173613e-03 3.88026048e-03 -1.97640282e-02 -4.89002637e-03 1.18172851e-03 9.75272361e-01 9.71564063e-01
6.5000 1.85657213e-07 1.76637164e-09 1.89074070e-09 -1.36094037e-08 -1.77990418e-09 1.14791089e-09 1.75704921e-07 1.75072928e-07 9.88764476e-01 1.48135993e-03 4.85685078e-03 -2.13818597e-02 -3.66634626e-03 2.80836632e-03 9.73720827e-01 9.72862847e-01
6.5100 1.85646355e-07 8.22717221e-10 2.31141390e-09 -1.44126278e-08 -1.00686582e-09 1.61450236e-09 1.74367858e-07 1.74975495e-07 9.88712063e-01 6.89979528e-04 5.93591454e-03 -2.26462427e-02 -2.07102953e-03 3.95067565e-03 9.72691715e-01 9.74571361e-01
